wav,support,TP,FP,FN,f1,recall,n_ws
002096.wav,15,12,2,3,0.8275862068965517,0.8,16
002494.wav,25,19,2,6,0.8260869565217391,0.76,18
003833.wav,25,19,2,6,0.8260869565217391,0.76,27
000090.wav,27,26,10,1,0.8253968253968254,0.9629629629629629,28
001748.wav,29,21,1,8,0.8235294117647058,0.7241379310344828,26
005297.wav,20,16,3,4,0.8205128205128205,0.8,21
005715.wav,22,16,1,6,0.8205128205128205,0.7272727272727273,23
005605.wav,18,16,5,2,0.8205128205128205,0.8888888888888888,21
001715.wav,27,25,9,2,0.819672131147541,0.9259259259259259,32
002937.wav,14,13,5,1,0.8125,0.9285714285714286,18
003755.wav,17,13,2,4,0.8125,0.7647058823529411,26
003112.wav,78,53,0,25,0.8091603053435115,0.6794871794871795,32
003206.wav,57,40,2,17,0.8080808080808081,0.7017543859649122,32
002635.wav,18,12,0,6,0.8,0.6666666666666666,23
004221.wav,17,12,1,5,0.8,0.7058823529411765,19
002414.wav,18,16,6,2,0.8,0.8888888888888888,25
002678.wav,29,20,1,9,0.8,0.6896551724137931,22
002413.wav,24,18,3,6,0.8,0.75,29
002197.wav,17,16,7,1,0.8,0.9411764705882353,28
003273.wav,17,15,6,2,0.7894736842105263,0.8823529411764706,14
002098.wav,25,20,6,5,0.7843137254901961,0.8,23
003192.wav,39,36,17,3,0.782608695652174,0.9230769230769231,38
004836.wav,27,18,1,9,0.782608695652174,0.6666666666666666,19
002495.wav,45,34,8,11,0.7816091954022989,0.7555555555555555,32
000795.wav,36,25,3,11,0.78125,0.6944444444444444,23
001370.wav,22,16,3,6,0.7804878048780488,0.7272727272727273,20
005291.wav,33,26,8,7,0.7761194029850746,0.7878787878787878,35
000782.wav,58,55,29,3,0.7746478873239436,0.9482758620689655,29
001886.wav,36,24,2,12,0.7741935483870968,0.6666666666666666,29
000138.wav,26,17,1,9,0.7727272727272727,0.6538461538461539,22
002391.wav,30,22,5,8,0.7719298245614035,0.7333333333333333,31
004490.wav,38,27,5,11,0.7714285714285715,0.7105263157894737,36
003984.wav,24,20,8,4,0.7692307692307693,0.8333333333333334,17
003975.wav,16,10,0,6,0.7692307692307693,0.625,16
003974.wav,12,10,4,2,0.7692307692307693,0.8333333333333334,17
002101.wav,37,23,0,14,0.7666666666666667,0.6216216216216216,20
005295.wav,27,18,2,9,0.7659574468085106,0.6666666666666666,32
001500.wav,12,8,1,4,0.7619047619047619,0.6666666666666666,26
000305.wav,23,16,3,7,0.7619047619047619,0.6956521739130435,23
002281.wav,25,19,6,6,0.76,0.76,21
002184.wav,16,11,2,5,0.7586206896551724,0.6875,22
001827.wav,15,14,8,1,0.7567567567567568,0.9333333333333333,18
003708.wav,23,17,5,6,0.7555555555555555,0.7391304347826086,23
003537.wav,24,20,9,4,0.7547169811320755,0.8333333333333334,36
003960.wav,11,9,4,2,0.75,0.8181818181818182,19
000167.wav,31,22,6,9,0.7457627118644068,0.7096774193548387,21
003270.wav,28,19,4,9,0.7450980392156863,0.6785714285714286,28
005505.wav,29,20,5,9,0.7407407407407407,0.6896551724137931,26
002390.wav,39,27,7,12,0.7397260273972602,0.6923076923076923,31
003086.wav,31,24,10,7,0.7384615384615385,0.7741935483870968,30
003500.wav,40,24,1,16,0.7384615384615385,0.6,33
003271.wav,15,14,9,1,0.7368421052631579,0.9333333333333333,21
002092.wav,21,14,3,7,0.7368421052631579,0.6666666666666666,19
002845.wav,28,19,5,9,0.7307692307692307,0.6785714285714286,20
000410.wav,17,12,4,5,0.7272727272727273,0.7058823529411765,16
003867.wav,23,16,5,7,0.7272727272727273,0.6956521739130435,25
002099.wav,17,12,4,5,0.7272727272727273,0.7058823529411765,23
002284.wav,32,20,3,12,0.7272727272727273,0.625,36
000352.wav,14,13,9,1,0.7222222222222222,0.9285714285714286,15
000790.wav,38,22,1,16,0.7213114754098361,0.5789473684210527,15
003761.wav,64,38,4,26,0.7169811320754716,0.59375,25
001439.wav,28,19,6,9,0.7169811320754716,0.6785714285714286,29
003278.wav,18,10,0,8,0.7142857142857143,0.5555555555555556,15
002278.wav,23,16,6,7,0.7111111111111111,0.6956521739130435,23
004495.wav,26,17,5,9,0.7083333333333334,0.6538461538461539,33
004218.wav,31,17,0,14,0.7083333333333334,0.5483870967741935,21
001515.wav,24,17,7,7,0.7083333333333334,0.7083333333333334,21
004136.wav,18,12,4,6,0.7058823529411765,0.6666666666666666,18
001557.wav,17,12,5,5,0.7058823529411765,0.7058823529411765,19
003535.wav,51,42,26,9,0.7058823529411765,0.8235294117647058,35
002834.wav,36,24,8,12,0.7058823529411765,0.6666666666666666,34
003706.wav,30,19,5,11,0.7037037037037037,0.6333333333333333,23
001413.wav,28,15,0,13,0.6976744186046512,0.5357142857142857,25
